token.id	token
37	"b"['well', ',', 'first', 'and', 'foremost', ',', 'the', 'text', 'of', 'the', 'statute', '.']""
38	"b"['the', '--', 'the', 'government', 'took', 'money', 'for', 'its', 'own', 'federal', 'functions', 'instead', 'of', '--', 'including', 'contract', 'monitoring', '--']""
39	"b"['legally', 'speaking', 'under', 'the', 'time-purpose-amount', 'test', '.']""
40	"b"['--', 'then', 'the', 'last', 'paragraph', 'begins', 'with', 'the', 'word', 'notwithstanding', 'any', 'other', 'provision', 'of', 'this', 'subchapter', '.']""
41	"b'[\'first\', \'of\', \'all\', \',\', \'the\', \'--\', \'the\', \'congress\', \',\', \'in\', \'our\', \'opinion\', \',\', \'clearly\', \'privileged\', \'the\', \'tribal\', \'contracts\', \'over\', \'the\', \'secretary\', "\'s", \'federal\', \'functions\', \'.\']'"
42	"b"['the', 'government', 'bureaucracy', 'consists', 'of', 'two', 'separate', 'types', 'of', 'bureaucracy', '.']""
43	"b"['explain', 'to', 'me', 'why', 'it', 'is', 'one', 'of', 'the', 'purposes', 'for', 'which', 'those', 'appropriations', 'were', 'made', ',', 'i.e.', ',', 'the', 'equivalent', 'of', 'the', '$', '10', 'million', ',', 'to', 'go', 'pay', 'for', 'this', '.']""
44	"b'[\'we\', "\'re", \'talking\', \',\', \'i\', \'thought\', \',\', \'about\', \'--\', \'about\', \'government\', \'contracts\', \'.\']'"
45	"b"['but', 'is', 'it', 'available', 'for', 'this', 'purpose', '?']""
46	"b"['nobody', 'says', 'practically', 'speaking', ',', 'and', 'they', 'could', 'have', 'brought', 'their', 'lawsuit', '.']""
47	"b'[\'first\', \',\', \'i\', "\'d", \'like\', \'to\', \'address\', \'the\', \'availability\', \'of\', \'appropriations\', \'clause\', \'briefly\', \'.\']'"
48	"b'[\'justice\', \'breyer\', \',\', \'one\', \'background\', \'principle\', \'--\', \'and\', \'it\', "\'s", \'reflected\', \',\', \'by\', \'the\', \'way\', \',\', \'in\', \'the\', \'terms\', \'of\', \'the\', \'contracts\', \'themselves\', \'.\']'"
49	"b"['did', 'those', 'declarations', 'get', 'specific', 'in', 'the', 'way', 'that', 'her', 'original', 'question', 'was', '--', 'was', 'asking', 'about', '?']""
50	"b"['correct', ',', 'your', 'honor', '.']""
